,id,A Symbol,B Symbol,A UniProt,B UniProt,DB Source
0,Tab2,TAB2,RIPK1,23118,8737,BIOGRID
1,Tab2,TAB2,RIPK1,23118,8737,BIOGRID
2,Ctla4,AP2M1,CTLA4,1173,1493,BIOGRID
3,Ctla4,CD80,CTLA4,941,1493,BIOGRID
4,Ctla4,ELAVL1,CTLA4,1994,1493,BIOGRID
5,Ctla4,CD80,CTLA4,941,1493,BIOGRID
6,Ctla4,CD86,CTLA4,942,1493,BIOGRID
7,Ctla4,FYN,CTLA4,2534,1493,BIOGRID
8,Ctla4,STAT5A,CTLA4,6776,1493,BIOGRID
9,Ctla4,STAT5B,CTLA4,6777,1493,BIOGRID
10,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
11,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
12,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
13,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
14,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
15,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
16,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
17,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
18,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
19,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
20,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
21,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
22,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
23,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
24,Traf2,TRAF2,RIPK1,7186,8737,BIOGRID
25,Ripk1,RIPK3,RIPK1,11035,8737,BIOGRID
26,Ripk1,TICAM1,RIPK1,148022,8737,BIOGRID
27,Ripk1,TRPC4AP,RIPK1,26133,8737,BIOGRID
28,Ripk1,FAS,RIPK1,355,8737,BIOGRID
29,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
30,Ripk1,RNF216,RIPK1,54476,8737,BIOGRID
31,Ripk1,TNFRSF10B,RIPK1,8795,8737,BIOGRID
32,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
33,Ripk1,CFLAR,RIPK1,8837,8737,BIOGRID
34,Ripk1,SQSTM1,RIPK1,8878,8737,BIOGRID
35,Ripk1,SQSTM1,RIPK1,8878,8737,BIOGRID
36,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
37,Ripk1,CASP10,RIPK1,843,8737,BIOGRID
38,Ripk1,CFLAR,RIPK1,8837,8737,BIOGRID
39,Ripk1,CRADD,RIPK1,8738,8737,BIOGRID
40,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
41,Ripk1,EGFR,RIPK1,1956,8737,BIOGRID
42,Ripk1,MAP3K14,RIPK1,9020,8737,BIOGRID
43,Ripk1,RIPK3,RIPK1,11035,8737,BIOGRID
44,Ripk1,TRADD,RIPK1,8717,8737,BIOGRID
45,Ripk1,TRADD,RIPK1,8717,8737,BIOGRID
46,Ripk1,TRAF1,RIPK1,7185,8737,BIOGRID
47,Ripk1,TRAF2,RIPK1,7186,8737,BIOGRID
48,Ripk1,TRAF3,RIPK1,7187,8737,BIOGRID
49,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
50,Ripk1,RNF11,RIPK1,26994,8737,BIOGRID
51,Ripk1,ITCH,RIPK1,83737,8737,BIOGRID
52,Ripk1,CASP8,RIPK1,841,8737,BIOGRID
53,Ripk1,TNFRSF1A,RIPK1,7132,8737,BIOGRID
